"page","diagram_number","players","year","solution_move","solution_move_with_notation","solution_full_move","solution_full_text","solution_turn","fen","api_turn","image_path","image_page","header_page","solution_page"
"38","13","Lasker - Mackay","1908","Rxc3","Rxc3!","13... Rxc3! For the exchange, Black destroys White’s structure and picks up a valuable central pawn.","13...Rxc3! For the exchange, Black destroys White’s structure and picks up a valuable central pawn. 14.bxc3 14.gxf6 Rxe3 15.fxg7 Kxg7-+ 14...Nxe4-+ Lasker went on to lose this simul game.","black","","","data_output/extracted_images/diagram_011_page_38.png","38","38","38"
"38","14","Lasker - Cohn","1909","","","","","","","","data_output/extracted_images/diagram_012_page_38.png","38","38",""
"39","15","Alekhine - Cohn","1911","g4","g4!","12. g4! With a closed centre, White can afford to advance on the wing. 12...Bg6 13.h4 f6 13...h5","12.g4! With a closed centre, White can afford to advance on the wing. 12...Bg6 13.h4 f6 13...h5 14.Ng5! hxg4 15.h5 Bh7 16.h6 g6 and it’s temping to use another diagram to embarrass the bishop on h7. 14.h5 Bf7 White failed to find the best continuation: 15.g5! Before Black has a chance to stop it with ...h7-h6. The attack is winning.","white","","","data_output/extracted_images/diagram_013_page_40.png","40","39","40"
"41","18","Mieses - Alekhine","1914","a5","Na5!","6... Na5! Picking up the bishop - the most ambitious and best move. Note that 7.b4? Bxd5! wins a","6...Na5! Picking up the bishop - the most ambitious and best move. Note that 7.b4? Bxd5! wins a pawn or destroys White’s structure.","black","","","data_output/extracted_images/diagram_014_page_41.png","41","41","41"
"41","19","Alekhine - Teichmann","1921","a4","Na4!²","7. Na4!² Hunting down the bishop and thus preparing to castle.","7.Na4!² Hunting down the bishop and thus preparing to castle.","white","","","data_output/extracted_images/diagram_015_page_41.png","41","41","41"
"42","20","Alekhine - Rubinstein","1921","h4","h4!","9. h4! A standard move against the knight on g6. 9...Bd6 After 9...h5 White clearly has more use for","9.h4! A standard move against the knight on g6. 9...Bd6 After 9...h5 White clearly has more use for the g5-square than Black has for the g4-square. 9...h6 is the best defence. 10.h5 Nge7 11.h6 g6 12.Bg5 0-0 13.Bf6 Black was not mated on g7, but surviving on the dark squares meant giving up an exchange and eventually losing the game.","white","","","data_output/extracted_images/diagram_016_page_42.png","42","42","42"
"42","21","Alekhine - Tarrasch","1922","c5","c5","13... c5 First things first: Black gets rid of the backward pawn and opens the diagonal for the b7-","13...c5 First things first: Black gets rid of the backward pawn and opens the diagonal for the b7- bishop. 13...Re8 was played in the game. 14.dxc5 14.d5 exd5 15.exd5 Nb6-+ picks up the loose pawn. (The pin along the d-file yields nothing for White.) 14...Qc7µ The knight is misplaced on a2, and the e4-pawn is vulnerable.","black","","","data_output/extracted_images/diagram_017_page_42.png","42","42","43"
"43","23","Alekhine - Dusek","1925","f5-","f5!+/-","14. f5!+/- White gets the e4-square and an initiative on the kingside. 14.Bxd5?! was played. After","14.f5!+/- White gets the e4-square and an initiative on the kingside. 14.Bxd5?! was played. After 14...Qxd5 15.Nc3 Black can go for 15...exf4!? 16.Bxf4 Qd7 17.Bxc7 f5© with decent play for the pawn. 14...Nf6 15.Nc3 Kh8 16.Bg5 White is close to winning.","white","","","data_output/extracted_images/diagram_018_page_44.png","44","43","44"
"44","24","Spielmann - Euwe","1925","f4","f4!³","14... f4!³ Turning the e2-knight and c1-bishop into bad pieces is much more important than giving","14...f4!³ Turning the e2-knight and c1-bishop into bad pieces is much more important than giving away the e4-square. Black will later get coordinated with ...c6-c5 and ...Nc6. 14...0-0? allowed:","black","","","data_output/extracted_images/diagram_019_page_44.png","44","44","44"
"45","26","Kmoch - Alekhine","1926","c4","c4!=","13... c4!= Black gains space and will follow up by pushing the a- and b-pawns. This method of","13...c4!= Black gains space and will follow up by pushing the a- and b-pawns. This method of releasing the tension normally comes with the drawback of giving White a free hand to play in the centre with e3-e4, but that is not on the agenda here.","black","","","data_output/extracted_images/diagram_020_page_46.png","46","45","46"
"46","27","Alekhine - Nimzowitsch","1927","f3","f3!","8. f3! A nice set-up against the bishops on b7 and b4, both of which fight for the e4-square. 8.e4?! is","8.f3! A nice set-up against the bishops on b7 and b4, both of which fight for the e4-square. 8.e4?! is risky when White is less than fully developed. Black obtains good counterplay with: 8...c5! 9.d5 exd5","white","","","data_output/extracted_images/diagram_021_page_46.png","46","46","46"
"47","28","Kmoch - Alekhine","1927","b5","b5!","22... b5! Winning the d5-square for a heavy piece before White has time to interfere with a2-a4. 23.c5","22...b5! Winning the d5-square for a heavy piece before White has time to interfere with a2-a4. 23.c5 Opening the c-file only helps Black, as the white rooks are busy defending the d-pawn. Kmoch tried 23.Qf3-+ but he lost a pawn and eventually the game. 23...g5µ Having obtained a dominant position, Black can set about creating a second weakness.","black","","","data_output/extracted_images/diagram_022_page_47.png","47","47","47"
"47","29","Bogoljubow - Alekhine","1929","h5","h5!","14... h5! Challenging the knight with extra force, as the e4-pawn is loose. There is no point in starting","14...h5! Challenging the knight with extra force, as the e4-pawn is loose. There is no point in starting with 14...c4; it’s better to retain the option of ...cxd4. 15.Qe2 15.e5 gives Black the d5-square, but there is also 15...h4!?, leading to a line which is not especially relevant, but which may still be of interest to those who are curious: 16.exf6 hxg3 17.fxe7 Rxh2 18.Rf3! Kxe7 19.Rxg3 Qxf4 20.Qg4 (20.Kxh2? Rh8+-+) 20...Rxg2+ 21.Rxg2 Qe3+ 22.Kf1 Qxd3+³ The position is close to equal, but I slightly prefer Black’s chances with three pawns versus a piece. 15...h4 16.Nh1³ The knight can’t easily return to the game, as White needs to defend the f-pawn.","black","","","data_output/extracted_images/diagram_023_page_48.png","48","47","48"
"48","30","Yates - Alekhine","1930","f4","f4µ","16... f4µ Black gains space and avoids giving White a chance for exf5. Black will follow up by","16...f4µ Black gains space and avoids giving White a chance for exf5. Black will follow up by pushing the g-pawn.","black","","","data_output/extracted_images/diagram_024_page_48.png","48","48","49"
"49","31","Bogoljubow - Alekhine","1934","e5","e5!=","13... e5!= The bishop on c8 is no longer a problematic piece, and the potential queen exchange on d2","13...e5!= The bishop on c8 is no longer a problematic piece, and the potential queen exchange on d2 will suit the player with fewer central pawns. 13...b6 is an attempt to exchange bishops but 14.Qd3!² is a good reply.","black","","","data_output/extracted_images/diagram_025_page_50.png","50","49","50"
