"page","diagram_number","players","year","solution_move","solution_move_with_notation","solution_full_move","solution_full_text","solution_turn","fen","api_turn","image_path","image_page","header_page","solution_page"
"58","45","Taimanov - Petrosian","1953","c4","c4!","13... c4!","13...c4! Black should play actively in the Benoni, and Petrosian took the opportunity in this training game. 14.Bf1 b4 15.Nb1 Nc5! 16.Qxc4 a5! 16...Nfxe4 was Petrosian’s choice, which gave him a pleasant game but nothing more. If White captures the b4-pawn, Black’s active pieces will offer more than enough compensation. The text move is even better than the game continuation. Black’s initiative is developing with the speed of a carbon bike, for instance: 17.Nbd2 Ba6 18.Qc2 Bxf1 19.Kxf1 Rc8 20.Qb1 Qb6-+","black","","","data_output/extracted_images/diagram_042_page_58.png","58","58","58"
"58","46","Geller - Smyslov","1953","Na5","Na5","13... Na5","13...Na5 Threatening the weak c4-pawn. 14.dxc5 There are two other ways to defend the pawn, the passive 14.Rc1 and 14.d5. However, neither of these will work well, as Black exchanges queens with either ...Nc7 or ...Nf6 followed by ...Qe8 (or ...Qd7). White would like to attack and leave the weak pawn to its fate, but after something like 14.f4 cxd4 15.cxd4 Bxc4-+ it becomes clear that the queen’s placement on a4 is completely incompatible with a kingside attack. 14...dxc5 A move ago White had a nice-looking pawn centre. Now White’s structure looks ugly, and Black went on to win.","black","","","data_output/extracted_images/diagram_043_page_59.png","59","58","59"
"59","47","Smyslov - Keres","1953","d5","d5!","14. d5!","14.d5! An obvious move which hardly requires any serious calculations. 14...cxb2 14...e5 15.bxc3+- was the game. 15.Bxb2 A good alternative is: 15.dxe6!? bxa1=Q? 16.exd7+ Kf8 17.Qc4 The only move, but easily good enough since 17...Qe7 18.d8=Q+ leads to a quick mate. The above variation featured a rare case on move 15 where Black’s best option would have been to underpromote to a knight without having a check or fork in mind. Even in that case, Black is still losing. 15...Bxb2 16.dxe6! This is strongest, although the straightforward 16.Qxb2 is also clearly better for White.","white","","","data_output/extracted_images/diagram_044_page_59.png","59","59","60"
"60","49","Smyslov - Botvinnik","1954","h3","h3!","18... h3!","18...h3! The pawn was threatened and 18...hxg3? would have been a losing mistake due to 19.fxg3! with a deadly pin. 19.Bh1 Qc8!= Stepping out of the pin before it becomes a problem.","black","","","data_output/extracted_images/diagram_045_page_62.png","62","60","62"
"61","50","Botvinnik - Smyslov","1954","h3","h3!","18... h3!","18...h3! The pawn was threatened and 18...hxg3? would have been a losing mistake due to 19.fxg3! with a deadly pin. 19.Bh1 Qc8!= Stepping out of the pin before it becomes a problem.","black","","","data_output/extracted_images/diagram_046_page_62.png","62","61","62"
"64","51","Vesterinen - Smyslov","1954","Rxc3","Rxc3!","15... Rxc3!","15...Rxc3! 15...e6? was not a move in Dragon style. The game was subsequently drawn after further mutual errors, but at this point 16.f4 Nc4 17.Bxc4 Rxc4 18.f5+- was a straightforward path to a decisive advantage for White. 16.bxc3 16.Qxc3 Nxf3„ 16...Qc7 I didn’t want to debate whether or not Black has enough compensation. The important thing in a game would be to recognize that the exchange sacrifice is the only option to offer a fighting chance. However, it is worth mentioning 17.Bh6 Bxh6 18.Qxh6 Qb6+ 19.Ka1 Qa5 20.Qxh5 Be6 21.Nb3 Qxc3+ 22.Kb1 Rc8 23.Rg2 a5© as one critical line which should eventually lead to a draw.","black","","","data_output/extracted_images/diagram_047_page_65.png","65","64","65"
"64","52","Czerniak - Smyslov","1954","Rxc3","Rxc3!","15... Rxc3!","15...Rxc3! 15...e6? was not a move in Dragon style. The game was subsequently drawn after further mutual errors, but at this point 16.f4 Nc4 17.Bxc4 Rxc4 18.f5+- was a straightforward path to a decisive advantage for White. 16.bxc3 16.Qxc3 Nxf3„ 16...Qc7 I didn’t want to debate whether or not Black has enough compensation. The important thing in a game would be to recognize that the exchange sacrifice is the only option to offer a fighting chance. However, it is worth mentioning 17.Bh6 Bxh6 18.Qxh6 Qb6+ 19.Ka1 Qa5 20.Qxh5 Be6 21.Nb3 Qxc3+ 22.Kb1 Rc8 23.Rg2 a5© as one critical line which should eventually lead to a draw.","black","","","data_output/extracted_images/diagram_048_page_65.png","65","64","65"
"65","53","Fairhurst - Smyslov","1955","Nf5","Nf5!","10. Nf5!","10.Nf5! Before the bishop can retreat to f8. 10...Re8 11.Nxe7+² The knight looks nice, but after 11.0- 0?! Bf8= it will be kicked back by ...g7-g6. Therefore White should exchange on e7 and aim for a gradual exploitation of the bishop pair.","white","","","data_output/extracted_images/diagram_049_page_66.png","66","65","66"
"66","54","Furman - Spassky","1955","e5","e5!","11... e5!","11...e5! Putting pressure on the d4-pawn before White has played e3-e4 (which would make d4-d5","black","","","data_output/extracted_images/diagram_050_page_66.png","66","66","66"
"67","55","Smyslov - Geller","1955","c5","c5!","9... c5!","9...c5! Acting before White has castled. 9...Qg5? runs into 10.Nf3! Qxg2 11.Bxh7++- when capturing the bishop will lead to the loss of the black queen. 10.Ne2 10.dxc5 d4!f 10...Nc6 More ambitious was: 10...c4 11.Bc2 Bg4 12.f3 Bh5 13.Qd2 Bg6³ With a third pair of minor pieces soon to be exchanged, Black’s queenside majority is more important than White’s central majority. 11.dxc5 d4 12.exd4 Nxd4=","black","","","data_output/extracted_images/diagram_051_page_67.png","67","67","67"
"67","56","Smyslov - Ivkov","1955","Nc6","Nc6","19... Nc6","19...Nc6 There’s no time to wait. White threatened to keep the knight sidelined by means of d4-d5. 20.d5 Nd4 21.Qd1 Nxc2³","black","","","data_output/extracted_images/diagram_052_page_69.png","69","67","69"
"68","57","Fuderer - Smyslov","1955","Nc6","Nc6","19... Nc6","19...Nc6 There’s no time to wait. White threatened to keep the knight sidelined by means of d4-d5. 20.d5 Nd4 21.Qd1 Nxc2³","black","","","data_output/extracted_images/diagram_053_page_69.png","69","68","69"
"69","58","Smyslov - Trifunovic","1955","d5","d5!","21. d5!","21.d5! Exchanging the isolated pawn unleashes the full power of White’s bishops and heavy pieces. You don’t need to calculate further to make this decision, so consider the following variations","white","","","data_output/extracted_images/diagram_054_page_69.png","69","69","69"
"70","59","Karaklajic - Smyslov","1955","c5","c5!","17... c5!","17...c5! Chasing the knight before White’s f-pawn starts to run. 17...Bd7 is too slow: 18.f4 c5 19.Nb3 b6 20.f5+- 18.Nf3 After 18.Nb3 b6 19.f4 Bf5= Black is in time to block the pawns. 18...b6!=","black","","","data_output/extracted_images/diagram_055_page_70.png","70","70","70"
"70","60","Spassky - Ravinsky","1957","b4","b4!","21. b4!","21.b4! Splitting the hanging-pawns couple and gaining access to the d4-square. 21.Ne3 d4 22.Nc4 Bd5= 21...Nd6 21...c4+/-; 21...cxb4 22.Nxb4+/- 22.bxc5 Rxc5 23.Nd4²","white","","","data_output/extracted_images/diagram_056_page_71.png","71","70","71"
"71","61","Taimanov - Spassky","1957","Bf4","Bf4","5. Bf4","5.Bf4 If Black goes for the Stonewall before e2-e3 or g2-g3 has been played, White should take the chance to develop the bishops more actively. The bishop on f4 is in contact with the weak e5-square.","white","","","data_output/extracted_images/diagram_057_page_71.png","71","71","71"
"72","62","Smyslov - Botvinnik","1957","h6","h6!","18. h6!","18.h6! g6 19.0-0+/- Black is eternally weak on the dark squares.","white","","","data_output/extracted_images/diagram_058_page_72.png","72","72","72"
"72","63","Tal - Dittmann","1957","f4","f4!","16... f4!","16...f4!= Giving up the e4-square is a small price to keep the kingside closed. 16...Qf7? 17.g4+- opened up Black’s king in the game. 16...Qg6?! 17.g4 Bh6 also opens Black’s kingside: 18.Bxh6 Qxh6+ 19.Kb1 Nf4? 20.g5!+-","black","","","data_output/extracted_images/diagram_059_page_73.png","73","72","73"
"73","64","Petrosian - Taimanov","1959","e5","e5","15... e5","Black’s last move was 15...e5, so the question is whether or not to capture en passant. 16.f5!","black","","","data_output/extracted_images/diagram_060_page_73.png","73","73","73"
"74","65","Donner - Tal","1959","Bg4","Bg4!","10... Bg4!","10...Bg4! Black has two minor pieces that can be developed to d7, so it’s wise to get rid of one of them. 11.h3 Bxf3 12.Qxf3 Nbd7 Threatening another piece exchange in Black’s favour. 13.Bf4 Qc7 14.Qe2 Rfe8 15.Bh2 Rac8=","black","","","data_output/extracted_images/diagram_061_page_74.png","74","74","74"
"74","66","Spassky - Lutikov","1959","exf5","exf5","12. exf5","If Black pushes ...f7-f5 before White has closed the centre, the normal reaction is to capture twice. 12.exf5 12.dxe5?! Nxe5 allows Black to take back on f5 with the bishop. 12...gxf5 13.dxe5 Nxe5+/- The Black structure is not harmonious; the pawn on f5 is a long-term weakness without any real redeeming features. 13...dxe5 14.Bc5 wins material, and it’s no surprise that Black is busted. 14...Rf7? 15.Nxe5 is the main point, exploiting the pin on the d-file.","white","","","data_output/extracted_images/diagram_062_page_75.png","75","74","75"
"75","67","Geller - Tal","1959","c4","c4!","16... c4!","16...c4! Tal demonstrates his own saying that Black has to be active in the Benoni - even if it’s not possible. On this occasion, it is. Preparing ...c5-c4 with 16...Rac8 also works, but there is no reason to delay the advance. 17.Be2 Rac8„ Keeping the knight flexible before deciding whether it will go to e5 or to c5.","black","","","data_output/extracted_images/diagram_063_page_75.png","75","75","76"
"76","68","Klasups - Tal","1959","Ng5","Ng5!","11. Ng5!","11.Ng5! In an effort to save time, Black elected not to prepare ...f7-f5 with ...h7-h6. The consequence is being forced to part with the light-squared bishop, while opening the long diagonal for White’s bishop. 11...Nf6 12.a4!? Stockfish’s suggestion. 12.Ba3 was played in the game, but it’s a bit early to determine if the bishop will have a good future on this square. 12.Ne6 is possible straight away, but why not wait for Black to spend a tempo on ...h7-h6? 12...a5 13.b5+/- The knight will jump to e6 soon, and Black will have obvious problems on the light squares.","white","","","data_output/extracted_images/diagram_064_page_77.png","77","76","77"
"76","69","Najdorf - Fischer","1959","Ng5","Ng5!","11. Ng5!","11.Ng5! In an effort to save time, Black elected not to prepare ...f7-f5 with ...h7-h6. The consequence is being forced to part with the light-squared bishop, while opening the long diagonal for White’s bishop. 11...Nf6 12.a4!? Stockfish’s suggestion. 12.Ba3 was played in the game, but it’s a bit early to determine if the bishop will have a good future on this square. 12.Ne6 is possible straight away, but why not wait for Black to spend a tempo on ...h7-h6? 12...a5 13.b5+/- The knight will jump to e6 soon, and Black will have obvious problems on the light squares.","white","","","data_output/extracted_images/diagram_065_page_77.png","77","76","77"
